Date,Tweet Count
2023-12-31,7
2024-01-01,9
2024-01-02,52
2024-01-03,64
2024-01-04,23
2024-01-05,63
2024-01-06,51
2024-01-07,53
2024-01-08,17
2024-01-09,49
2024-01-10,40
2024-01-11,20
2024-01-12,119
2024-01-13,43
2024-01-14,70
2024-01-15,30
2024-01-16,9
2024-01-17,29
2024-01-18,58
2024-01-19,31
2024-01-20,10
2024-01-21,27
2024-01-22,30
2024-01-23,6
2024-01-24,38
2024-01-25,7
2024-01-26,6
2024-01-27,20
2024-01-28,14
2024-01-29,9
2024-01-30,16
2024-01-31,12
2024-02-01,26
2024-02-02,25
2024-02-03,43
2024-02-04,45
2024-02-05,13
2024-02-06,9
2024-02-07,4
2024-02-08,8
2024-02-09,20
2024-02-10,65
2024-02-11,62
2024-02-12,69
2024-02-13,16
2024-02-14,39
2024-02-15,19
2024-02-16,29
2024-02-17,25
2024-02-18,5
2024-02-19,28
2024-02-20,48
2024-02-21,5
2024-02-22,50
2024-02-24,14
2024-02-25,5
2024-02-26,4
2024-02-27,63
2024-02-28,35
2024-02-29,39
2024-03-01,25
2024-03-02,11
2024-03-03,38
2024-03-04,28
2024-03-05,10
2024-03-06,8
2024-03-07,21
2024-03-08,18
2024-03-09,8
2024-03-10,17
2024-03-11,27
2024-03-12,8
2024-03-13,3
2024-03-14,10
2024-03-15,65
2024-03-16,46
2024-03-17,44
2024-03-18,68
2024-03-19,31
2024-03-20,65
2024-03-21,27
2024-03-22,35
2024-03-23,8
2024-03-24,15
2024-03-25,15
2024-03-26,8
2024-03-27,13
2024-03-28,8
2024-03-29,3
2024-03-30,6
2024-03-31,16
2024-04-01,6
2024-04-02,10
2024-04-03,5
2024-04-04,9
2024-04-05,5
2024-04-06,3
2024-04-07,2
2024-04-08,23
2024-04-09,2
2024-04-10,6
2024-04-11,3
2024-04-12,5
2024-04-13,44
2024-04-14,6
2024-04-15,4
2024-04-16,10
2024-04-18,8
2024-04-19,4
2024-04-20,11
2024-04-21,9
2024-04-22,31
2024-04-23,6
2024-04-24,2
2024-04-25,4
2024-04-26,5
2024-04-27,13
2024-04-28,26
2024-04-29,3
2024-04-30,29
2024-05-01,55
2024-05-02,11
2024-05-03,26
2024-05-04,45
2024-05-05,38
2024-05-06,49
2024-05-07,20
2024-05-08,71
2024-05-09,54
2024-05-10,46
2024-05-11,84
2024-05-12,118
2024-05-13,31
2024-05-14,70
2024-05-15,113
2024-05-16,14
2024-05-17,44
2024-05-18,29
2024-05-19,29
2024-05-20,28
2024-05-21,120
2024-05-22,51
2024-05-23,15
2024-05-24,7
2024-05-25,6
2024-05-26,36
2024-05-27,13
2024-05-28,11
2024-05-29,6
2024-05-30,5
2024-05-31,18
2024-06-01,5
2024-06-02,22
2024-06-03,1
2024-06-04,23
2024-06-05,1
2024-06-06,29
2024-06-07,14
2024-06-08,29
2024-06-09,46
2024-06-10,49
2024-06-11,42
2024-06-12,59
2024-06-13,26
2024-06-14,63
2024-06-15,45
2024-06-16,34
2024-06-17,43
2024-06-18,48
2024-06-19,48
2024-06-20,16
2024-06-21,25
2024-06-22,11
2024-06-23,33
2024-06-24,43
2024-06-25,126
2024-06-26,135
2024-06-27,65
2024-06-28,43
2024-06-29,6
2024-06-30,5
2024-07-01,13
2024-07-02,7
2024-07-03,28
2024-07-04,23
2024-07-05,42
2024-07-06,22
2024-07-07,143
2024-07-08,81
2024-07-09,136
2024-07-10,85
2024-07-11,54
2024-07-12,35
2024-07-13,10
2024-07-14,38
2024-07-15,71
2024-07-16,74
2024-07-17,21
2024-07-18,60
2024-07-19,53
2024-07-20,42
2024-07-21,30
2024-07-22,59
2024-07-23,74
2024-07-24,19
2024-07-25,20
2024-07-26,17
2024-07-27,6
2024-07-28,22
2024-07-29,85
2024-07-30,35
2024-07-31,86
2024-08-01,88
2024-08-02,11
2024-08-03,25
2024-08-04,54
2024-08-05,25
2024-08-06,27
2024-08-07,162
2024-08-08,179
2024-08-09,42
2024-08-10,49
2024-08-11,160
2024-08-12,19
2024-08-13,110
2024-08-14,27
2024-08-15,78
2024-08-16,40
2024-08-17,13
2024-08-18,5
2024-08-19,93
2024-08-20,349
2024-08-21,79
2024-08-22,38
2024-08-23,99
2024-08-24,38
2024-08-25,26
2024-08-26,21
2024-08-27,141
2024-08-28,63
2024-08-29,21
2024-08-30,96
2024-08-31,105
2024-09-01,197
2024-09-02,136
2024-09-03,128
2024-09-04,79
2024-09-05,123
2024-09-06,63
2024-09-07,49
2024-09-08,48
2024-09-09,37
2024-09-10,68
2024-09-11,101
2024-09-12,62
2024-09-13,22
2024-09-14,47
2024-09-15,14
2024-09-16,30
2024-09-17,15
2024-09-18,53
2024-09-19,5
2024-09-20,15
2024-09-21,13
2024-09-22,31
2024-09-23,4
2024-09-24,25
2024-09-25,45
2024-09-26,17
2024-09-27,26
2024-09-28,11
2024-09-29,19
2024-09-30,45
2024-10-01,27
2024-10-02,6
2024-10-03,1
2024-10-04,24
2024-10-05,15
2024-10-06,25
2024-10-07,12
2024-10-08,52
2024-10-09,16
2024-10-10,17
2024-10-11,10
2024-10-12,27
2024-10-13,7
2024-10-14,3
2024-10-15,2
2024-10-16,26
2024-10-17,90
2024-10-18,8
2024-10-19,28
2024-10-20,36
2024-10-21,11
2024-10-22,38
2024-10-23,10
2024-10-24,18
2024-10-25,14
2024-10-26,21
2024-10-27,8
2024-10-28,12
2024-10-29,11
2024-10-30,132
2024-10-31,23
2024-11-01,39
2024-11-02,58
2024-11-03,28
2024-11-04,50
2024-11-05,23
2024-11-06,4
2024-11-07,16
2024-11-08,40
2024-11-09,42
2024-11-10,87
2024-11-11,50
2024-11-12,141
2024-11-13,77
2024-11-14,89
2024-11-15,257
2024-11-16,17
2024-11-17,70
2024-11-18,118
2024-11-19,277
2024-11-20,171
2024-11-21,189
2024-11-22,228
2024-11-23,159
2024-11-24,162
2024-11-25,112
2024-11-26,99
2024-11-27,135
2024-11-28,138
2024-11-29,68
2024-11-30,32
2024-12-01,274
2024-12-02,169
2024-12-03,86
2024-12-04,185
2024-12-05,41
2024-12-06,41
2024-12-07,101
2024-12-08,89
2024-12-09,55
2024-12-10,79
2024-12-11,215
2024-12-12,105
2024-12-13,34
2024-12-14,23
2024-12-15,11
2024-12-16,39
2024-12-17,19
2024-12-18,176
2024-12-19,25
2024-12-20,127
2024-12-21,70
2024-12-22,39
2024-12-23,63
